Date_parsed,State,Year,Month,Data Value,State Name
2015-01-01,CO,2015,January,923.0,Colorado
2015-07-01,CO,2015,July,918.0,Colorado
2015-06-01,CO,2015,June,921.0,Colorado
2015-03-01,CO,2015,March,939.0,Colorado
2015-05-01,CO,2015,May,927.0,Colorado
2015-11-01,CO,2015,November,908.0,Colorado
2015-10-01,CO,2015,October,915.0,Colorado
2015-09-01,CO,2015,September,917.0,Colorado
2016-04-01,CO,2016,April,894.0,Colorado
2016-08-01,CO,2016,August,934.0,Colorado
2016-12-01,CO,2016,December,965.0,Colorado
2016-02-01,CO,2016,February,912.0,Colorado
2016-01-01,CO,2016,January,913.0,Colorado
2016-07-01,CO,2016,July,928.0,Colorado
2016-06-01,CO,2016,June,935.0,Colorado
2016-03-01,CO,2016,March,908.0,Colorado
2016-05-01,CO,2016,May,915.0,Colorado
2016-11-01,CO,2016,November,952.0,Colorado
2016-10-01,CO,2016,October,948.0,Colorado
2016-09-01,CO,2016,September,933.0,Colorado
2017-04-01,CO,2017,April,989.0,Colorado
2017-08-01,CO,2017,August,1019.0,Colorado
2017-12-01,CO,2017,December,1040.0,Colorado
2017-02-01,CO,2017,February,967.0,Colorado
2017-01-01,CO,2017,January,977.0,Colorado
2017-07-01,CO,2017,July,1013.0,Colorado
2017-06-01,CO,2017,June,997.0,Colorado
2017-03-01,CO,2017,March,964.0,Colorado
2017-05-01,CO,2017,May,983.0,Colorado
2017-11-01,CO,2017,November,1046.0,Colorado
2017-10-01,CO,2017,October,1027.0,Colorado
2017-09-01,CO,2017,September,1024.0,Colorado
2018-04-01,CO,2018,April,1048.0,Colorado
2018-08-01,CO,2018,August,1027.0,Colorado
2018-12-01,CO,2018,December,1004.0,Colorado
2018-02-01,CO,2018,February,1053.0,Colorado
2018-01-01,CO,2018,January,1048.0,Colorado
2018-07-01,CO,2018,July,1035.0,Colorado
2018-06-01,CO,2018,June,1035.0,Colorado
2018-03-01,CO,2018,March,1068.0,Colorado
2018-05-01,CO,2018,May,1058.0,Colorado
2018-11-01,CO,2018,November,991.0,Colorado
